n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
199,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,5.75
200,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,6.11111111111111
201,80,Rhynchanthera cordata,Rhynchanthera cordata,35,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,13.75
202,80,Rhynchanthera cordata,Rhynchanthera cordata,35,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,15.75
203,80,Rhynchanthera cordata,Rhynchanthera cordata,35,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,19.25
204,80,Rhynchanthera cordata,Rhynchanthera cordata,35,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,15.25
205,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,13
206,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,13.5
207,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,13.3333333333333
208,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,14
209,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,NA
210,91,Anemopaegma carajasense,Anemopaegma carajasense,25,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,13.5
211,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,10
212,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,9.83333333333333
213,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,10.5
214,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,17.5
215,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,11.5
216,91,Anemopaegma carajasense,Anemopaegma carajasense,35,Shrub,Restricted,Xeric,36.637,ND,Anemopaegma_paraense,10.5
217,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14.25
218,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14.3333333333333
219,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,16
220,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14.75
221,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14
222,91,Dyckia duckei,Dyckia duckei,25,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,17.1666666666667
223,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,12.75
224,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,12.8
225,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14.1666666666667
226,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,14.7857142857143
227,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,13.9
228,91,Dyckia duckei,Dyckia duckei,35,Herb,Restricted,Xeric,0.976,ND,Dyckia_duckei,13.8333333333333
229,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,8.875
230,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,8.41666666666667
231,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,11.5
232,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,8.625
233,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,8.4375
234,91,Bauhinia pulchella,Bauhinia pulchella,25,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,8.59090909090909
235,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,18.5
236,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,NA
237,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,25.5
238,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,NA
239,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,11.5
240,91,Bauhinia pulchella,Bauhinia pulchella,35,Shrub,Widespread,Mesic/Xeric,44.725,ND,Bauhinia_pulchella,28.5
241,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,19.5
242,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
243,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,14.5
244,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
245,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,23.5
246,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,25,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,20.5
247,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
248,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,24.5
249,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
250,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
251,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
252,91,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,35,Shrub,Widespread,Xeric,6.1285,ND,Mimosa_acutistipula,NA
253,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,20.5
254,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,18
255,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,19.5
256,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,14.5
257,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,18.5
258,91,Pleroma carajasense,Pleroma carajasense,25,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,17.5
259,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,NA
260,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,NA
261,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,NA
262,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,25.5
263,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,NA
264,91,Pleroma carajasense,Pleroma carajasense,35,Shrub,Widespread,Xeric,0.081,ND,Tibouchina_riedeliana,25.5
265,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,NA
266,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,NA
267,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,21.5
268,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,NA
269,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,28.5
270,91,Borreria elaiosulcata,Borreria elaiosulcata,25,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,NA
271,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,9.66666666666667
272,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,9.75
273,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,11.25
274,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,8.5
275,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,8.83333333333333
276,91,Borreria elaiosulcata,Borreria elaiosulcata,35,Shrub,Restricted,Mesic/Xeric,0.57925,ND,Spermacoce_elaiosulcata,9.4
277,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,26
278,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,19.75
279,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,20
280,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,27
281,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,NA
282,91,Mitracarpus carajasensis,Mitracarpus carajasensis,25,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,25.5
283,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,NA
284,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,27.5
285,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,23.5
286,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,26.5
287,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,23.5
288,91,Mitracarpus carajasensis,Mitracarpus carajasensis,35,Herb,Restricted,Xeric,0.11075,ND,Mitracarpus_carajasensis,21.5
289,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,23.5
290,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,15.75
291,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,20.5
292,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,17.75
293,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,NA
294,91,Vellozia glauca,Vellozia glauca,25,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,18.5
295,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,14
296,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,14.6428571428571
297,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,16.25
298,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,16.5
299,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,13.25
300,91,Vellozia glauca,Vellozia glauca,35,Shrub,Widespread,Xeric,1.045,ND,Vellozia_glauca,15.5
301,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.66666666666667
302,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,6.5
303,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.7
304,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.6
305,97,Collaea cipoensis,Collaea cipoensis,35,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,3.95
306,97,Collaea cipoensis,Collaea cipoensis,35,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,3.76666666666667
307,97,Collaea cipoensis,Collaea cipoensis,35,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,3.81818181818182
308,97,Collaea cipoensis,Collaea cipoensis,35,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,3.71428571428571
