,n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
198,198,80,Lavoisiera subulata,Lavoisiera subulata,15,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.91666667
199,199,80,Lavoisiera subulata,Lavoisiera subulata,15,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,15.33333333
200,200,80,Lavoisiera subulata,Lavoisiera subulata,15,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.5
201,201,80,Lavoisiera subulata,Lavoisiera subulata,25,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.625
202,202,80,Lavoisiera subulata,Lavoisiera subulata,25,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,NA
203,203,80,Lavoisiera subulata,Lavoisiera subulata,25,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.41666667
204,204,80,Lavoisiera subulata,Lavoisiera subulata,25,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.83333333
205,205,80,Miconia theaezans,Miconia theaezans,15,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,26.66666667
206,206,80,Miconia theaezans,Miconia theaezans,15,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,24.8
207,207,80,Miconia theaezans,Miconia theaezans,15,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,26.14285714
208,208,80,Miconia theaezans,Miconia theaezans,15,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,24.66666667
209,209,80,Miconia theaezans,Miconia theaezans,25,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,14.25
210,210,80,Miconia theaezans,Miconia theaezans,25,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,13.5
211,211,80,Miconia theaezans,Miconia theaezans,25,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,15.71428571
212,212,80,Miconia theaezans,Miconia theaezans,25,Shrub,Widespread,Mesic,0.00138,ND,Miconia_theaezans,15.75
213,213,80,Rhynchanthera cordata,Rhynchanthera cordata,15,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,13.375
214,214,80,Rhynchanthera cordata,Rhynchanthera cordata,15,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,13.9
215,215,80,Rhynchanthera cordata,Rhynchanthera cordata,15,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,12.75
216,216,80,Rhynchanthera cordata,Rhynchanthera cordata,15,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,13.61111111
217,217,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,4.666666667
218,218,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,4.791666667
219,219,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,5.75
220,220,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,6.111111111
221,221,97,Collaea cipoensis,Collaea cipoensis,15,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,14
222,222,97,Collaea cipoensis,Collaea cipoensis,15,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,14.5
223,223,97,Collaea cipoensis,Collaea cipoensis,15,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,20.5
224,224,97,Collaea cipoensis,Collaea cipoensis,15,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,20.5
225,225,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.666666667
226,226,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,6.5
227,227,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.7
228,228,97,Collaea cipoensis,Collaea cipoensis,25,Shrub,Restricted,Mesic/Xeric,NA,ND,Collaea_cipoensis,5.6
